French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
gros,large
aura,will have
jouer,to play
